symbol,contractType,status,baseAsset,t0Iso,origin,spotFirstIso,mexcFirstIso
ARBUSDT,PERPETUAL,TRADING,ARB,2023-03-23T15:00:00.000Z,A,2023-03-23,2025-03-26
JOEUSDT,PERPETUAL,TRADING,JOE,2023-03-29T12:00:00.000Z,C,2021-12-28,2021-12-28
AMBUSDT,PERPETUAL,SETTLING,AMB,2023-03-30T12:00:00.000Z,U,,
LEVERUSDT,PERPETUAL,SETTLING,LEVER,2023-03-30T12:00:00.000Z,U,,
TLMUSDT,PERPETUAL,TRADING,TLM,2023-03-30T12:00:00.000Z,C,2021-04-13,2021-07-16
RDNTUSDT,PERPETUAL,SETTLING,RDNT,2023-04-05T12:00:00.000Z,U,,
HFTUSDT,PERPETUAL,TRADING,HFT,2023-04-06T12:00:00.000Z,C,2022-11-07,2023-03-28
XVSUSDT,PERPETUAL,TRADING,XVS,2023-04-13T02:00:00.000Z,C,2020-10-06,2023-04-12
BLURUSDT,PERPETUAL,TRADING,BLUR,2023-04-28T12:00:00.000Z,B,2023-11-24,2023-02-15
EDUUSDT,PERPETUAL,TRADING,EDU,2023-04-30T12:00:00.000Z,A,2023-04-28,2023-04-30
IDEXUSDT,PERPETUAL,SETTLING,IDEX,2023-05-03T12:00:00.000Z,U,,
SUIUSDT,PERPETUAL,TRADING,SUI,2023-05-03T16:00:00.000Z,A,2023-05-03,2024-12-13
1000PEPEUSDT,PERPETUAL,TRADING,1000PEPE,2023-05-05T16:00:00.000Z,U,,
1000FLOKIUSDT,PERPETUAL,TRADING,1000FLOKI,2023-05-06T16:00:00.000Z,U,,
RADUSDT,PERPETUAL,SETTLING,RAD,2023-05-10T12:00:00.000Z,C,2021-10-07,
UMAUSDT,PERPETUAL,TRADING,UMA,2023-05-10T12:00:00.000Z,C,2020-09-09,2021-11-08
KEYUSDT,PERPETUAL,SETTLING,KEY,2023-05-24T12:00:00.000Z,U,,
ETHBTC,PERPETUAL,TRADING,ETH,2023-05-24T18:00:00.000Z,C,2017-08-17,2025-03-24
COMBOUSDT,PERPETUAL,SETTLING,COMBO,2023-06-02T12:00:00.000Z,U,,
NMRUSDT,PERPETUAL,TRADING,NMR,2023-06-22T12:00:00.000Z,C,2020-08-19,2023-06-21
MAVUSDT,PERPETUAL,TRADING,MAV,2023-06-29T12:00:00.000Z,A,2023-06-28,2023-06-28
MDTUSDT,PERPETUAL,SETTLING,MDT,2023-06-30T12:00:00.000Z,U,,
XVGUSDT,PERPETUAL,TRADING,XVG,2023-07-05T12:00:00.000Z,C,2021-06-06,2023-07-04
WLDUSDT,PERPETUAL,TRADING,WLD,2023-07-24T12:00:00.000Z,A,2023-07-24,2023-07-24
ARKMUSDT,PERPETUAL,TRADING,ARKM,2023-07-28T02:00:00.000Z,B,2023-07-18,2023-07-18
PENDLEUSDT,PERPETUAL,TRADING,PENDLE,2023-07-28T02:00:00.000Z,A,2023-07-03,2025-09-26
AGLDUSDT,PERPETUAL,TRADING,AGLD,2023-07-29T02:00:00.000Z,C,2021-10-05,2021-09-04
YGGUSDT,PERPETUAL,TRADING,YGG,2023-08-05T03:00:00.000Z,C,2021-09-24,2021-11-18
DODOXUSDT,PERPETUAL,TRADING,DODOX,2023-08-08T12:00:00.000Z,U,,
BNTUSDT,PERPETUAL,TRADING,BNT,2023-08-10T12:00:00.000Z,C,2020-02-06,2023-04-12
OXTUSDT,PERPETUAL,SETTLING,OXT,2023-08-11T12:00:00.000Z,U,,
SEIUSDT,PERPETUAL,TRADING,SEI,2023-08-17T02:00:00.000Z,A,2023-08-15,2023-08-15
CYBERUSDT,PERPETUAL,TRADING,CYBER,2023-08-21T12:00:00.000Z,A,2023-08-15,2023-08-15
HIFIUSDT,PERPETUAL,SETTLING,HIFI,2023-09-16T14:00:00.000Z,U,,
ARKUSDT,PERPETUAL,TRADING,ARK,2023-09-19T14:00:00.000Z,B,2023-09-22,2023-08-15
GLMRUSDT,PERPETUAL,SETTLING,GLMR,2023-09-26T01:00:00.000Z,C,2022-01-11,
BICOUSDT,PERPETUAL,TRADING,BICO,2023-09-28T12:00:00.000Z,C,2021-12-09,2021-12-09
STRAXUSDT,PERPETUAL,SETTLING,STRAX,2023-10-11T02:00:00.000Z,C,2020-11-18,
LOOMUSDT,PERPETUAL,SETTLING,LOOM,2023-10-11T14:00:00.000Z,U,,
BIGTIMEUSDT,PERPETUAL,TRADING,BIGTIME,2023-10-12T14:00:00.000Z,A,2025-04-11,2023-10-11
BONDUSDT,PERPETUAL,SETTLING,BOND,2023-10-15T14:00:00.000Z,U,,
ORBSUSDT,PERPETUAL,SETTLING,ORBS,2023-10-17T06:00:00.000Z,U,,
STPTUSDT,PERPETUAL,SETTLING,STPT,2023-10-18T14:00:00.000Z,U,,
WAXPUSDT,PERPETUAL,TRADING,WAXP,2023-10-18T14:00:00.000Z,C,2021-08-23,2021-11-15
BSVUSDT,PERPETUAL,TRADING,BSV,2023-10-20T12:00:00.000Z,B,,2020-06-20
