block,universe,regime,bucket,filter,dir,holdDays,n,mean,median,sd,se,t,winPct,maeP95,maeP99,exWorst10
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,7,136,9.0236,-9.8923,146.2904,12.5443,0.7193,32.35,161.386,312.320,13.6144
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,14,136,12.8447,-9.5242,100.2394,8.5955,1.4944,38.24,190.135,550.239,18.4877
regime,CRYPTO_NEW,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,29,136,22.5200,-15.3789,128.3461,11.0056,2.0462,41.91,371.513,867.104,29.5686
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,1,37,-10.9247,-0.0400,38.5003,6.3294,-1.7260,48.65,140.305,158.036,5.3843
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,3,37,-6.3218,-0.1540,36.1148,5.9372,-1.0648,48.65,182.426,218.934,9.7836
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,7,37,-10.5448,6.6489,61.4438,10.1013,-1.0439,59.46,242.120,278.244,16.2490
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,14,37,-9.7924,2.2119,57.4477,9.4443,-1.0369,56.76,249.387,278.244,15.3792
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,29,37,-34.3493,-12.0429,85.8169,14.1082,-2.4347,35.14,290.313,453.640,3.6894
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,1,214,-0.3443,3.8952,24.2952,1.6608,-0.2073,63.55,52.707,189.063,3.6086
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,3,214,1.5513,6.7720,32.5123,2.2225,0.6980,65.89,93.972,197.762,6.8385
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,7,214,-5.6141,11.2895,121.0174,8.2726,-0.6786,66.82,171.533,365.519,9.2432
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,14,214,-6.4235,12.3958,86.0556,5.8826,-1.0919,63.08,215.815,471.822,7.5810
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,29,214,-10.9266,15.2989,108.4814,7.4156,-1.4735,59.81,345.921,795.570,6.8020
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,long,1,37,10.8447,-0.0400,38.5003,6.3294,1.7134,48.65,140.305,158.036,20.0379
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,long,3,37,6.2418,0.0740,36.1148,5.9372,1.0513,51.35,182.426,218.934,17.0319
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,long,7,37,10.4648,-6.7289,61.4438,10.1013,1.0360,40.54,242.120,278.244,25.7443
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,long,14,37,9.7124,-2.2919,57.4477,9.4443,1.0284,43.24,249.387,278.244,26.9412
regime,CRYPTO_NEW,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,long,29,37,34.2693,11.9629,85.8169,14.1082,2.4290,64.86,290.313,453.640,59.0030
regime,CRYPTO_NEW,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,long,1,214,0.2643,-3.9752,24.2952,1.6608,0.1591,35.05,52.707,189.063,1.8429
