entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
6,30,8,3,485,0,61.03,-0.054,2.000,203,42,240,93,147,49.5,1
6,30,8,7,485,0,63.30,-0.300,5.060,237,48,200,70,130,41.2,1
6,30,8,14,485,0,64.12,-0.005,7.960,266,54,165,45,120,34.0,2
6,30,10,3,485,0,57.53,-0.469,1.312,160,51,274,119,155,56.5,1
6,30,10,7,485,0,59.59,-0.592,2.768,206,59,220,83,137,45.4,1
6,30,10,14,485,0,59.59,-0.319,5.248,231,66,188,58,130,38.8,1
6,30,15,3,485,0,54.02,-0.085,0.625,123,57,305,139,166,62.9,0
6,30,15,7,485,0,56.91,-0.016,1.917,155,67,263,121,142,54.2,0
6,30,15,14,485,0,56.49,0.400,2.602,177,75,233,97,136,48.0,0
6,30,20,3,485,0,52.78,0.342,0.398,100,59,326,156,170,67.2,0
6,30,20,7,485,0,54.23,-0.000,1.002,120,76,289,143,146,59.6,0
6,30,20,14,485,0,53.61,0.458,1.314,137,85,263,123,140,54.2,0
6,30,30,3,485,0,49.48,0.033,-0.053,63,71,351,177,174,72.4,0
6,30,30,7,485,0,50.72,-0.173,0.182,79,91,315,167,148,64.9,0
6,30,30,14,485,0,49.90,0.485,-0.120,94,101,290,148,142,59.8,0
6,40,3,3,485,0,71.75,-0.582,2.960,313,18,154,35,119,31.8,1
6,40,3,7,485,0,77.73,-0.523,2.960,359,20,106,18,88,21.9,1
6,40,3,14,485,0,80.41,-0.277,2.960,385,23,77,5,72,15.9,1
6,40,5,3,485,0,66.80,-0.529,4.960,257,26,202,67,135,41.6,1
6,40,5,7,485,0,70.72,-0.622,4.960,301,29,155,42,113,32.0,1
6,40,5,14,485,0,72.78,-0.188,4.960,338,32,115,15,100,23.7,1
6,40,8,3,485,0,62.47,-0.095,2.632,210,31,244,93,151,50.3,1
6,40,8,7,485,0,65.15,-0.261,7.960,246,35,204,70,134,42.1,1
6,40,8,14,485,0,66.39,0.174,7.960,277,39,169,45,124,34.8,1
6,40,10,3,485,0,59.38,-0.460,1.524,169,38,278,119,159,57.3,1
6,40,10,7,485,0,61.86,-0.507,3.374,217,43,225,83,142,46.4,1
6,40,10,14,485,0,62.06,-0.193,9.960,243,49,193,58,135,39.8,1
6,40,15,3,485,0,56.08,-0.029,0.992,131,43,311,141,170,64.1,0
6,40,15,7,485,0,59.38,0.115,2.562,166,50,269,122,147,55.5,0
6,40,15,14,485,0,59.18,0.578,3.912,190,57,238,97,141,49.1,0
6,40,20,3,485,0,54.64,0.254,0.785,105,46,334,160,174,68.9,0
6,40,20,7,485,0,55.88,-0.361,1.390,127,61,297,144,153,61.2,0
6,40,20,14,485,0,55.67,0.229,2.100,146,69,270,124,146,55.7,0
6,40,30,3,485,0,51.34,-0.165,0.282,67,57,361,182,179,74.4,0
